"","gene_id","gene_symbol"
"460","ENSMUSG00000002668.8","Dennd1c"
"461","ENSMUSG00000002679.14","Med6"
"462","ENSMUSG00000002688.8","Prkd1"
"463","ENSMUSG00000002699.13","Lcp2"
"464","ENSMUSG00000002718.14","Cse1l"
"465","ENSMUSG00000002728.14","Naa20"
"466","ENSMUSG00000002731.6","Prkra"
"467","ENSMUSG00000002732.14","Fkbp7"
"468","ENSMUSG00000002733.8","Plekha3"
"469","ENSMUSG00000002741.9","Ykt6"
"470","ENSMUSG00000002748.7","Baz1b"
"471","ENSMUSG00000002763.16","Pex6"
"472","ENSMUSG00000002767.13","Mrpl2"
"473","ENSMUSG00000002768.8","Mea1"
"474","ENSMUSG00000002769.9","Gnmt"
"475","ENSMUSG00000002771.12","Grin2d"
"476","ENSMUSG00000002778.14","Kdelr1"
"477","ENSMUSG00000002781.19","Tmem143"
"478","ENSMUSG00000002791.17","Pdxk-ps"
"479","ENSMUSG00000002797.9","Ggct"
"480","ENSMUSG00000002799.6","Jag2"
"481","ENSMUSG00000002803.14","Btbd6"
"482","ENSMUSG00000002804.4","Nudt14"
"483","ENSMUSG00000002808.7","Epdr1"
"484","ENSMUSG00000002812.4","Flii"
"485","ENSMUSG00000002814.15","Top3a"
"486","ENSMUSG00000002820.6","Atg4d"
"487","ENSMUSG00000002825.8","Qtrt1"
"488","ENSMUSG00000002831.14","Plin4"
"489","ENSMUSG00000002833.11","Hdgfl2"
"490","ENSMUSG00000002835.9","Chaf1a"
"491","ENSMUSG00000002844.9","Adprh"
"492","ENSMUSG00000002845.14","Tmem39a"
"493","ENSMUSG00000002846.9","Timmdc1"
"494","ENSMUSG00000002847.7","Pla1a"
"495","ENSMUSG00000002870.8","Mcm2"
"496","ENSMUSG00000002871.14","Tpra1"
"497","ENSMUSG00000002881.14","Nab1"
"498","ENSMUSG00000002885.14","Adgre5"
"499","ENSMUSG00000002897.5","Il17ra"
"500","ENSMUSG00000002900.17","Lamb1"
"501","ENSMUSG00000002908.17","Kcnn1"
"502","ENSMUSG00000002910.11","Arrdc2"
"503","ENSMUSG00000002930.6","Ppp1r17"
"504","ENSMUSG00000002944.15","Cd36"
"505","ENSMUSG00000002948.19","Map2k7"
"506","ENSMUSG00000002949.15","Timm44"
"507","ENSMUSG00000002957.11","Ap2a2"
"508","ENSMUSG00000002963.17","Pnkp"
"509","ENSMUSG00000002968.9","Med25"
"510","ENSMUSG00000002980.14","Bcam"
"511","ENSMUSG00000002981.10","Clptm1"
"512","ENSMUSG00000002983.17","Relb"
"513","ENSMUSG00000002984.17","Tomm40"
"514","ENSMUSG00000002985.16","Apoe"
"515","ENSMUSG00000002992.17","Apoc2"
"516","ENSMUSG00000002996.17","Hbp1"
"517","ENSMUSG00000002997.15","Prkar2b"
"518","ENSMUSG00000003031.14","Cdkn1b"
"519","ENSMUSG00000003032.8","Klf4"
"520","ENSMUSG00000003033.15","Ap1m1"
"521","ENSMUSG00000003037.16","Rab8a"
"522","ENSMUSG00000003038.15","Hmgn2"
"523","ENSMUSG00000003039.9","Fam32a"
"524","ENSMUSG00000003051.13","Elf3"
"525","ENSMUSG00000003053.17","Cyp2c29"
"526","ENSMUSG00000003062.13","Stard3nl"
"527","ENSMUSG00000003068.17","Stk11"
"528","ENSMUSG00000003070.6","Efna2"
